City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Road Town,VG,78.89,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
325,Cabedelo,BR,81.27,light rain,-6.9811,-34.8339,Hotel Pigalle
326,Waingapu,ID,86.36,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
332,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
341,Kavieng,PG,82.71,moderate rain,-2.5744,150.7967,Nusa Island Retreat
343,Andros Town,BS,76.96,clear sky,24.7,-77.7667,Hanks place
345,Banjarmasin,ID,78.94,light rain,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
346,Samarai,PG,83.61,overcast clouds,-10.6167,150.6667,Nuli Sapi
349,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
350,Bandarbeyla,SO,77.0,scattered clouds,9.4942,50.8122,JABIR HOTEL
355,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
359,Pedernales,DO,76.96,clear sky,18.0384,-71.744,Hotel Costa Marina
363,Panji,ID,86.47,overcast clouds,-7.7253,114.0995,Rumah andre
369,Anloga,GH,75.42,broken clouds,5.7947,0.8973,Pin Drop Hotel
370,Palu,ID,85.82,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
375,Meulaboh,ID,76.32,moderate rain,4.1363,96.1285,Kost Pria
377,Ternate,ID,82.62,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
381,Dingle,PH,83.53,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
383,General Roca,AR,81.0,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
388,Esperance,AU,75.04,broken clouds,-33.8667,121.9,Hospitality Esperance
395,Labuhan,ID,79.52,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
403,Manaus,BR,79.3,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
404,Swan Hill,AU,76.87,clear sky,-35.3378,143.5544,Lazy River Motor Inn
407,Craigieburn,AU,76.14,clear sky,-37.6,144.95,Juscelina Drive
417,Namatanai,PG,79.3,light rain,-3.6667,152.4333,Seagulls Inn Namatani
420,Fayaoue,NC,80.53,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
422,Salinopolis,BR,79.79,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
428,Pocone,BR,75.25,overcast clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
432,Kawalu,ID,77.61,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
439,Bagotville,AU,89.62,broken clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
440,Cap Malheureux,MU,75.69,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
445,Nueva Gerona,CU,76.91,clear sky,21.8833,-82.8,Villa Gerona
449,Prainha,BR,77.07,overcast clouds,-1.8,-53.48,Casa Rocha
452,Pringsewu,ID,81.82,light rain,-5.3582,104.9744,Urban Style by Front One
453,Sorong,ID,81.23,light rain,-0.8833,131.25,Waigo Splash Hotel
460,Boyolangu,ID,78.76,overcast clouds,-8.1181,111.8935,Yos ega cv
468,Baculin,PH,84.4,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
472,Byron Bay,AU,89.71,overcast clouds,-28.65,153.6167,Backpackers Inn
474,Port-Gentil,GA,80.96,broken clouds,-0.7193,8.7815,Fengshui Residence
477,Luganville,VU,83.23,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
494,Sinnamary,GF,78.15,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
495,Saint-Joseph,RE,76.48,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
511,Simoes,BR,80.8,overcast clouds,-7.5989,-40.8178,Hotel Ponto Certo
521,Poum,NC,80.4,clear sky,-20.2333,164.0167,Gîte kajeon
522,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
528,Pangkalanbuun,ID,84.0,light rain,-2.6833,111.6167,Grand Kecubung Hotel
537,Itarema,BR,80.15,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
542,Kirakira,SB,85.21,broken clouds,-10.4544,161.9205,SanBiz Lodge
546,Trairi,BR,79.92,overcast clouds,-3.2778,-39.2689,janelas do mar
548,Parrita,CR,82.53,clear sky,9.5201,-84.3225,Beso del Viento
549,San Ramon De La Nueva Oran,AR,89.42,broken clouds,-23.1322,-64.326,Hotel Residencial Centro
551,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
561,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
576,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
