City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Kalachinsk,RU,2021-12-19 04:46:23,55.0529,74.5751,18.12,95,100,12.95
241,Lompoc,US,2021-12-19 04:46:23,34.6391,-120.4579,51.12,90,1,3.44
242,Atlantis,ZA,2021-12-19 04:46:24,-33.5667,18.4834,62.19,95,22,4.07
243,San Juan,AR,2021-12-19 04:46:24,-31.5375,-68.5364,84.49,35,18,13.13
244,Marawi,PH,2021-12-19 04:46:24,7.9986,124.2928,75.65,74,32,6.71
245,Shalyhyne,UA,2021-12-19 04:46:25,51.5717,34.1217,30.67,96,100,20.24
246,Mabaruma,GY,2021-12-19 04:46:25,8.2,-59.7833,73.2,99,95,2.15
247,Lata,PT,2021-12-19 04:46:25,40.1629,-8.3327,51.82,77,29,6.15
248,Innisfail,AU,2021-12-19 04:45:44,-17.5333,146.0333,94.87,70,29,8.79
249,Enterprise,US,2021-12-19 04:46:02,36.0252,-115.2419,42.64,46,20,5.99
250,Bolshaya Martynovka,RU,2021-12-19 04:46:26,47.271,41.6679,31.98,89,43,10.87
251,Hualmay,PE,2021-12-19 04:46:26,-11.0964,-77.6139,66.52,88,48,7.99
252,Poum,NC,2021-12-19 04:46:27,-20.2333,164.0167,79.66,70,33,6.8
253,Teguldet,RU,2021-12-19 04:46:27,57.3064,88.1667,-1.98,97,98,3.15
254,Pangai,TO,2021-12-19 04:46:27,-19.8,-174.35,81.84,82,22,16.24
255,Butaritari,KI,2021-12-19 04:46:28,3.0707,172.7902,82.24,80,53,16.28
256,Vao,NC,2021-12-19 04:46:28,-22.6667,167.4833,75.81,89,72,20.51
257,Flin Flon,CA,2021-12-19 04:46:29,54.7682,-101.865,-0.76,93,100,8.57
258,Steinheim,DE,2021-12-19 04:46:30,51.8707,9.0914,44.89,96,100,15.08
259,Lincoln,US,2021-12-19 04:43:06,40.8,-96.667,20.64,83,1,0.0
260,Mecca,SA,2021-12-19 04:46:30,21.4267,39.8261,70.92,65,75,5.19
261,Petrokamenskoye,RU,2021-12-19 04:46:31,57.716,60.6484,20.55,95,100,6.87
262,Whitehorse,CA,2021-12-19 04:41:53,60.7161,-135.0538,-12.23,77,90,2.3
263,Acapulco,MX,2021-12-19 04:46:31,16.8634,-99.8901,77.05,75,79,5.53
264,Bilma,NE,2021-12-19 04:46:31,18.6853,12.9164,53.74,35,24,11.86
265,Zuwarah,LY,2021-12-19 04:46:32,32.9312,12.082,58.12,57,64,15.52
266,Tarauaca,BR,2021-12-19 04:46:32,-8.1614,-70.7656,72.81,99,85,2.44
267,Half Moon Bay,US,2021-12-19 04:43:49,37.4636,-122.4286,47.98,88,1,0.0
268,Alyangula,AU,2021-12-19 04:46:32,-13.8483,136.4192,94.87,46,100,11.5
269,Maniitsoq,GL,2021-12-19 04:46:33,65.4167,-52.9,30.94,74,100,13.91
